,time,height,tas
0,2015-12-31,2.0,14.809966603703547
1,2016-12-31,2.0,14.704337896863724
2,2017-12-31,2.0,14.888413197861738
3,2018-12-31,2.0,14.905196530534687
4,2019-12-31,2.0,14.85808046135479
5,2020-12-31,2.0,14.8993182609513
6,2021-12-31,2.0,14.993125619710648
7,2022-12-31,2.0,15.140995890924529
8,2023-12-31,2.0,15.118505874804265
9,2024-12-31,2.0,15.144739908731195
10,2025-12-31,2.0,15.216791204768
11,2026-12-31,2.0,15.23968923505501
12,2027-12-31,2.0,15.382933519554149
13,2028-12-31,2.0,15.371489884610828
14,2029-12-31,2.0,15.343230152964415
15,2030-12-31,2.0,15.281467791530428
16,2031-12-31,2.0,15.421408100960257
17,2032-12-31,2.0,15.287433461819031
18,2033-12-31,2.0,15.464505588764235
19,2034-12-31,2.0,15.55549368779315
20,2035-12-31,2.0,15.559345547889063
21,2036-12-31,2.0,15.287330005031416
22,2037-12-31,2.0,15.487275113357404
23,2038-12-31,2.0,15.730040428982667
24,2039-12-31,2.0,15.673881689748804
25,2040-12-31,2.0,15.886325863058675
26,2041-12-31,2.0,15.808385467175075
27,2042-12-31,2.0,15.983276425864384
28,2043-12-31,2.0,16.013284487904304
29,2044-12-31,2.0,15.886480785264393
30,2045-12-31,2.0,16.01173278826664
31,2046-12-31,2.0,15.994853111099546
32,2047-12-31,2.0,16.096707649402482
33,2048-12-31,2.0,16.104385002534546
34,2049-12-31,2.0,16.115831818547015
35,2050-12-31,2.0,16.031951021423296
36,2051-12-31,2.0,16.173228968575767
37,2052-12-31,2.0,16.16137387017523
38,2053-12-31,2.0,16.377594318304407
39,2054-12-31,2.0,16.24472462258514
40,2055-12-31,2.0,16.420162504151637
41,2056-12-31,2.0,16.48649588346782
42,2057-12-31,2.0,16.381585425489355
43,2058-12-31,2.0,16.52927261495519
44,2059-12-31,2.0,16.62706499554265
45,2060-12-31,2.0,16.320843295246384
